GGD-meldingsdatum;nieuw;t/m vorige week
27-2-2020;0;5
28-2-2020;0;5
29-2-2020;0;14
1-3-2020;0;13
2-3-2020;0;47
3-3-2020;0;41
4-3-2020;0;44
5-3-2020;0;43
6-3-2020;0;32
7-3-2020;0;46
8-3-2020;0;72
9-3-2020;0;78
10-3-2020;0;138
11-3-2020;0;168
12-3-2020;0;186
13-3-2020;0;222
14-3-2020;0;221
15-3-2020;0;235
16-3-2020;0;271
17-3-2020;0;370
18-3-2020;0;458
19-3-2020;0;515
20-3-2020;0;696
21-3-2020;0;669
22-3-2020;0;540
23-3-2020;0;620
24-3-2020;0;1120
25-3-2020;0;1051
26-3-2020;0;1052
27-3-2020;0;1179
28-3-2020;0;986
29-3-2020;0;745
30-3-2020;0;804
31-3-2020;0;1124
1-4-2020;0;1045
2-4-2020;0;1028
3-4-2020;0;1223
4-4-2020;0;1097
5-4-2020;0;858
6-4-2020;0;772
7-4-2020;0;1088
8-4-2020;0;1347
9-4-2020;0;1316
10-4-2020;0;1394
11-4-2020;0;1054
12-4-2020;0;823
13-4-2020;0;756
14-4-2020;0;816
15-4-2020;0;1114
16-4-2020;0;1168
17-4-2020;0;1275
18-4-2020;0;995
19-4-2020;0;623
20-4-2020;0;586
21-4-2020;0;711
22-4-2020;0;971
23-4-2020;0;795
24-4-2020;0;660
25-4-2020;0;576
26-4-2020;0;379
27-4-2020;0;177
28-4-2020;0;393
29-4-2020;0;460
30-4-2020;0;508
1-5-2020;0;491
2-5-2020;0;312
3-5-2020;0;175
4-5-2020;0;285
5-5-2020;0;251
6-5-2020;0;302
7-5-2020;0;297
8-5-2020;0;327
9-5-2020;0;253
10-5-2020;0;152
11-5-2020;0;170
12-5-2020;0;218
13-5-2020;0;295
14-5-2020;0;185
15-5-2020;0;211
16-5-2020;0;156
17-5-2020;0;113
18-5-2020;0;103
19-5-2020;0;180
20-5-2020;0;295
21-5-2020;0;192
22-5-2020;0;196
23-5-2020;0;203
24-5-2020;0;151
25-5-2020;0;128
26-5-2020;0;173
27-5-2020;0;191
28-5-2020;0;205
29-5-2020;0;166
30-5-2020;0;170
31-5-2020;0;98
1-6-2020;0;97
2-6-2020;0;123
3-6-2020;0;185
4-6-2020;0;262
5-6-2020;0;222
6-6-2020;0;186
7-6-2020;0;134
8-6-2020;0;155
9-6-2020;0;142
10-6-2020;0;182
11-6-2020;0;205
12-6-2020;0;195
13-6-2020;0;131
14-6-2020;0;147
15-6-2020;0;129
16-6-2020;0;119
17-6-2020;0;136
18-6-2020;0;83
19-6-2020;0;102
20-6-2020;0;98
21-6-2020;0;57
22-6-2020;0;71
23-6-2020;0;75
24-6-2020;0;113
25-6-2020;0;83
26-6-2020;0;69
27-6-2020;0;81
28-6-2020;0;69
29-6-2020;0;50
30-6-2020;0;58
1-7-2020;0;74
2-7-2020;0;75
3-7-2020;0;59
4-7-2020;0;77
5-7-2020;0;45
6-7-2020;0;42
7-7-2020;0;50
8-7-2020;0;58
9-7-2020;0;63
10-7-2020;0;99
11-7-2020;0;74
12-7-2020;0;88
13-7-2020;0;101
14-7-2020;0;96
15-7-2020;0;150
16-7-2020;0;134
17-7-2020;0;162
18-7-2020;0;135
19-7-2020;0;153
20-7-2020;0;179
21-7-2020;0;167
22-7-2020;0;140
23-7-2020;0;217
24-7-2020;0;187
25-7-2020;0;194
